Country_Code,Year,Adjusted net national income per capita (constant 2010 US$),Armed forces personnel (% of total labor force),Computer communications and other services (% of commercial service imports),Consumer price index (2010 = 100),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GINI index (World Bank estimate),GNI per capita growth (annual %),Government Budget,High-technology exports (% of manufactured exports),Improved sanitation facilities urban (% of urban population with access),Improved water source urban (% of urban population with access),Income share held by highest 10%,Income share held by lowest 20%,Individuals using the Internet (% of population),Inflation consumer prices (annual %),Informal employment (% of total non-agricultural employment),Interest arrears official creditors (current US$),Interest arrears private creditors (current US$),Interest payments on external debt (% of exports of goods services and primary income),Internally displaced persons new displacement associated with conflict and violence (number of cases),Internally displaced persons new displacement associated with disasters (number of cases),Internet Speed,Labor force participation rate for ages 15-24 female (%) (modeled ILO estimate),Labor force participation rate for ages 15-24 male (%) (modeled ILO estimate),Military expenditure (% of central government expenditure),Mobile cellular subscriptions (per 100 people),Ores and metals exports (% of merchandise exports),Population in the largest city (% of urban population),Precipitation,Prevalence of HIV total (% of population ages 15-49),Retirement Age Men,Retirement Age Women,Share of youth not in education employment or training female (% of female youth population),Share of youth not in education employment or training male (% of male youth population),Terrorism Index,Total debt service (% of exports of goods services and primary income),Total reserves (% of total external debt),Tourist Arrivals,Unemployment with advanced education female (% of female labor force with advanced education),Unemployment with advanced education male (% of male labor force with advanced education),Unemployment female (% of female labor force) (modeled ILO estimate),Unemployment male (% of male labor force) (modeled ILO estimate),Unemployment total (% of total labor force) (modeled ILO estimate),Unemployment youth female (% of female labor force ages 15-24) (modeled ILO estimate),Unemployment youth male (% of male labor force ages 15-24) (modeled ILO estimate),Urban population growth (annual %),Value lost due to electrical outages (% of sales),Vulnerable employment female (% of female employment),Vulnerable employment male (% of male employment),Wholesale price index (2010 = 100),Stability,KNN_Value,LR_Value
MWI,2000,-70.2859282876,-0.00379111553,3.50431464299,7.38666342,0.300003051758,-0.099999904633,-0.300001144409,0.0001127568,0.032828074,39.9,-0.585219237732,137.9404,2.026180120985,46.2,92.9,5.46666666667,1.15,0.03950219,-15.22267583,0,34422000,2325000,4.621057518465,0,0,137.9404,0.327011108398,1.20133972168,7.56349384619,0.228495553,0.215673664484,-0.235579313715,0,15.2,80,80,0,0,100,13.504323537065,9.075512170188,100,0.646666653951,0.713333320618,0.10000038147,0.099999904633,0.099999904633,0,0.10000038147,-0.513744484656,13.3,72.199998855591,58.900000572205,0,6.4,8,6.4,
MYS,2000,122.079462332,-0.133029185968,-1.99057712237,1.21620712,-0.099998474121,0.39999961853,-0.299999237061,0.005572798333,0.40844758,46,3.43503206257,1135.8179,59.569232563426,92.8,97.4,5.78333333333,0.783333333333,9.07922896,-1.209821065,0,0,0,2.008379556342,0,0,1135.8179,-0.919918060303,-0.627014160156,9.899812403143,8.80939692,1.044398085635,0.709079858077,0,0.7,55,55,-0.844444433848,-0.466666645474,1042572,5.636451887617,68.30413820753,1042572,-0.35,-0.390000009537,-0.200000047684,-0.599999904633,-0.400000095367,-0.89999961853,-1.69999980927,-0.175457639369,1.8,22.700000762939,22.800000429153,0,7.6,8,7.6,
MLI,2000,-25.6608056928,-0.015958914705,-8.73242448642,-0.52131592,0.29999923706,-0.60000038147,0.29999923706,0.003128664875,0.043720716,39.9,-5.97431307161,469.8713,14.807748037685,33.4,70.4,10.0333333333,2.1,0.081635882,0.524242027,6.01875019073,41867000,0,4.122101130903,0,0,469.8713,-0.039590835571,-0.070861816406,15.534465534466,0.037324067,0.30449211207,-0.026506678402,0,1.6,80,80,1.31666668256,0.891666650772,100,14.124050004052,0,100,1.05624997616,1.22500002384,-3.69999980927,-2.00000047684,-2.5,-4.69999885559,-2.19999980927,0.100510795836,1.8,94.600002288818,86.299999237061,0,5.1,6,5.1,
MLT,2000,0,0.112195961705,0.681515885746,1.82483352,-0.100000143051,1.70000076294,-1.69999694824,0.203175725,1.36070397,50,-0.952633991546,2157.604,71.7414634159,100,100,0,0,5.353910672,0.234823987,0,0,0,0.1,0,0,2157.604,-0.673110961914,-1.10919189453,0.710513745942,18.829394387,0.359092597286,0,0,0.1,61,60,-2.33333333333,1.75,42830,0,0,42830,-1.35000002384,-1.5,-1.2000002861,-0.200000286102,-0.599999904633,-0.60000038147,-1.9000005722,0.04175243413,0,3.799999952316,10.20000038296,0,8.9,10,8.9,
MRT,2000,-38.676825574,-0.083421935532,4.05862351614,1.67513213,0.099998474121,-0.300000190735,0.20000076294,0.000744671,0.071587855,39,0.444952073373,345.3445,0.002046524954,38.8,45.3,14.75,3.1,0.073566998,-0.820108678,0,112033000,0,1.621669739938,0,0,345.3445,-0.378322601318,-0.756332397461,0,0.564972795,45.723552432688,-0.783343189141,0,0.8,80,80,0,0,100,5.847586952375,2.066701843928,100,0,0,-0.200000762939,-0.199999809265,-0.199999809265,0,-0.200000762939,-0.076816291064,1.6,53.20000076294,40.599999189377,0,4.5,6,4.5,
MEX,2000,333.574021335,0.026166452746,-4.14232604186,5.49045516,-2.89999961853,1.5,1.39999771118,0.0072203135,1.19185492,51.7,2.26519060738,1132.9971,22.45135077353,82.7,93.8,20.65,1.95,3.223947932,-7.090585951,-8.4857145037,0,0,7.68723833393,0,0,1132.9971,-0.266830444336,-1.34140014648,3.702093517272,5.996328223,1.334983248289,-0.097830308612,0,0.2,65,65,-4.77142878941,1.22857148307,1006.63,31.872103484464,23.320496814834,1006.63,-0.600000023842,-0.500000119209,-0.299999952316,0.200000047684,0.099999904633,0.099999904633,1.5,-0.047118478321,2.4,33.39999961853,30.899999141693,7.69796496363,6.3,8,6.3,
MNG,2000,154.209472465,-0.046481536278,3.66483212612,4.50202833,-0.399997711182,-0.199999809265,0.599998474121,0.000675023333,0.549502612,32.9,-1.13199636248,239.0558,0.468657117296,65.1,74.2,6.15,1.875,0.747180444,4.030597257,-4.95999984741,1560000,132000,2.114681967682,0,0,239.0558,-0.158695220947,-0.184474945068,9.533053342918,4.993947321,41.412469244338,0.716504254092,0,0.1,60,55,2.52500009537,2.08750009537,100,6.614348399933,21.050269686336,100,0.5,0.480000019073,-0.099999904633,-0.10000038147,-0.099999904633,-0.10000038147,-0.10000038147,0.999658710567,0.8,55.300001144409,61.099998474121,0,7.2,8,7.2,
MNE,2000,632.949893427,-0.805863462554,5.2090975848,11.7436399214,1.5,-1.20000076294,-0.300003051758,0.177811698286,-3.96528206286,30.2,-0.369371303642,2374.1344,0.1,90.8,99,-3.42857142857,-1.21428571429,4.22501143333,0.365564072625,0,0,0,3.433522890088,0,0,2374.1344,-0.420776367188,-0.517879486084,0,13.117228215,0.1,0,0,0.1,80,80,0.44705881792,0.523529389325,13195,9.7730739164,53.014480643741,13195,-0.992307662964,-1.0461538755,-0.699998855591,-0.10000038147,-0.299999237061,-0.100002288818,0.199996948242,0.061019642086,8.1,15.799999713898,19.099999189377,0,4.4,6,4.4,
MAR,2000,-18.4737488052,-0.034058446296,3.84253839674,1.55524294,1.60000228882,-0.5,-1.09999847412,0.0017058185,-0.220880473,40.6,0.637077973287,1871.2375,11.286244410909,82.2,95.8,16.05,3.25,0.5181959,1.209851959,0,121520000,543000,11.836514491679,0,0,1871.2375,-0.234111785889,-0.090045928955,12.2003655842,6.856311195,8.752208173704,-0.135073883973,0,0.1,80,80,0,0,4379990,29.721547930166,24.131135061846,4379990,5.30000019073,6.80000019073,-0.10000038147,-0.5,-0.299999237061,-0.699998855591,-0.700000762939,-0.036241379917,0.8,69.39999961853,58.60000038147,3.98955117549,5.5,6,5.5,
MOZ,2000,-11.791686155,-0.002258956904,4.58550023588,4.11578331904,-0.300003051758,0.100000143051,0.200000762939,0.00127447525,0.030353881,47,-7.87757456015,365.5068,9.021072265498,36.9,74.8,9.825,1.35,0.053341901,9.86409900976,0,402056000,1564000,5.037205671914,0,0,365.5068,-0.991088867188,-0.993804931641,8.12172679029,0.210627762,17.304583170771,-0.452954886421,0,10.4,80,80,0.885714258466,0.528571435383,100,9.449460127488,13.223858264114,100,1.4571428299,1.4499999455,-0.39999961853,-0.5,-0.39999961853,0,-0.399997711182,0.123667447269,2.4,96.600002288818,80.60000038147,0,6.1,8,6.1,
MMR,2000,79.8451023345,-0.026763056132,-1.00100984175,-0.01638323,-0.900001525879,-0.099999427795,1.09999847412,0.000069178143,0.040311455,38.1,0,1468.9103,0.001822921481,78.6,84.6,1.86470588235,0.429411764706,0.000068784,-18.510208885,5.04705900304,442427000,49809000,0.148131108242,0,0,1468.9103,-1.13554382324,-0.785110473633,0,0.003885572,0.895479996423,-0.123601281598,0,0.8,80,80,1.48235298606,0.658823518192,125085,0.438285306097,4.876437480377,125085,0,0.194117644254,0,0,0,0,0,-0.006369535816,2.5,94.600002288818,95.900001525879,0,3.7,4,3.7,
NAM,2000,165.465686102,-0.054951217885,-6.73307455238,15.64336924,-2.90000152588,-0.300000190735,3.30000305176,0.000944381429,-0.020766697,63.3,4.08292949196,301.5158,1.819505295481,58.4,98.5,10.96,0.6,1.308521839,-1.427230623,3.87142862592,0,0,0.1,0,0,301.5158,-0.369623184204,0.193935394287,8.298881118374,2.705064912,11.094392388606,0.431855337206,0,15.5,80,80,2.51428576878,1.92857142857,100,0,0,100,0.328571421759,0.264285717692,0.700000762939,0.800001144409,0.799999237061,3.70000076294,7.19999694824,-0.402201362845,0.7,36.799998283386,20.400000810623,0,6.9,8,6.9,
NPL,2000,-148.688715789,-0.013767696265,0.379235668665,1.30484192,-3.19999694824,1.39999961853,1.80000019073,0.000469590375,0.035997926,43.8,0.508946297133,2474.7739,0.011031168306,43.6,94.3,7.38,1.3,0.057982815,-4.972292403,9.96999969482,0,0,2.302216800088,0,0,2474.7739,-0.557014465332,-0.631896972656,4.0953024012,0.019868085,0.234551367937,-0.261108200602,0,0.2,80,80,2.43999996185,2.22000007629,100,7.593741532626,34.307691611582,100,0.459999990463,0.509999990463,0.199999928474,0.100000143051,0.200000047684,0.5,0.200000047684,-0.116508506747,26.9,84.099996566773,63.300000667572,0,2.7,4,2.7,
NLD,2000,1410.80231284,-0.053612246259,1.36556187094,1.85448355,0,-0.699998855591,0.699996948242,0.8196792115,1.40551177,29.8,-2.20862512392,4200.6025,35.806573184313,97.5,100,-3.95,1.4,4.80834412,0.123640165,0,0,0,0.1,0,0,4200.6025,2.78588104248,5.96752929688,3.893276952555,25.04616983,1.839927081361,-0.113308175566,0,0.1,65,65,-1.08000001907,0.839999961853,100,0,0,100,-0.100000023842,0,-1.40000009537,-0.5,-0.899999856949,-2.2000002861,-1.90000009537,0.019217175108,0,7.699999928474,8.200000107288,0,9.3,10,9.3,
NZL,2000,518.02801295,-0.022064224575,15.8411130763,2.26462647,-0.699999809265,0.300001144409,0.400001525879,0.0603675655,-0.56843833,50,-0.871461406887,2076.4722,9.664823009828,0.1,100,0,0,5.88507388,2.728902926,0,0,0,0.1,0,0,2076.4722,0.235336303711,-0.954467773438,6.22173849163,3.42505143,4.927919295286,0.301173526029,0,0.1,65,65,-1.55555555556,0.877777788374,243023,0,0,243023,-0.099999904633,0.100000023842,-0.699999809265,-1,-0.900000095367,-0.60000038147,-0.699999809265,0.062034096773,0,10.100000143051,16.5,0,9.3,10,9.3,
NIC,2000,26.4292316758,-0.034976764818,-2.51451783271,3.01860771,-0.5,-0.099998474121,0.5,0.0068615075,0.232050746,53.1,-2.68989923505,508.6982,4.884716426876,67.2,94.4,14.3666666667,1.3,0.482314844,-1.34373626,0,777514000,12760000,10.134105455654,0,0,508.6982,1.21929359436,0.974136352539,4.752793937817,0.889284824,0.378431759607,-0.483516400787,0,0.4,80,80,0.10625000298,0.07500000298,100,29.404653052931,7.218622151194,100,0.324999988079,0.44374999404,-0.299999237061,-1.5,-1.0999994278,4,-0.199999809265,-0.083939821922,8.7,47.099998474121,45.89999961853,0,4.8,6,4.8,
NER,2000,0,-0.008621493442,-1.54796496531,2.19822518,0,0.099999427795,-0.099998474121,0.000100979167,0.003624874,44.4,0.074187747696,123.8557,5.629815814668,26.8,78,5.17142857143,0.828571428571,0.008125272,5.202274774,7.33846165584,59577000,0,3.218996234215,0,0,123.8557,0.075134277344,0.060134887695,0,-0.001978317,40.673335849751,0.182647207646,0,1.1,80,80,2.41538458604,0.507692300356,100,7.959830554021,0,100,0.184615391951,0.261538468874,0.900000095367,0.699999809265,0.799999952316,2.10000014305,1.5999994278,-0.008314910549,1.9,95.500003099442,91,0,4.6,6,4.6,
NGA,2000,-491.09729992,-0.054368205985,-0.047714425542,1.93664736,-1.5,0,1.5,0.000051171714,0.055365564,40.1,-11.2921402801,527.2183,0.59068690784,35.8,78.2,5.96,1.14,0.023042085,0.314918761,0,43123000,343000,3.60321500804,0,0,527.2183,-0.241123199463,-0.439014434814,12.1351583575,0.003552153,0.008705338189,-0.020902305775,0,4,80,80,1.55999997457,1.18000005086,100,8.756119507007,31.196087513171,100,0,0,0.900000095367,0.700000286102,0.799999713898,1.5,0.900000095367,-0.002026953086,8.9,53.400001525879,37.70000076294,0,3.3,4,3.3,
NOR,2000,3994.95021246,-0.179199956929,-0.918633606588,2.45307443,-0.299999713898,-0.5,0.800003051758,0.259341273,-1.3079577,31.6,0.455358688681,4421.3265,16.763674127212,98,100,-4.51666666667,1.46666666667,12,0.752929005,0,0,0,0.1,0,0,4421.3265,1.00510787964,1.31695556641,5.258090431306,12.13443442,6.08025175181,-0.252420164764,0,0.1,62,62,-1.93999996185,-2.06000003815,100,0,0,100,0.5,0.299999952316,0,0.299999952316,0.299999952316,0,-2.0999994278,0.329304043007,0,3.799999952316,7.499999821186,0,9.7,10,9.7,
OMN,2000,3279.57576972,-0.01331015598,-3.36623448571,-37.397157815,-0.599999904633,1.70000076294,-1.19999694824,0.001050507,-0.02828271,50,-1.17723764145,2294.0923,3.117178443372,96.1,87.4,0,0,1.00475543,0.272222222333,0,0,0,0.1,0,0,2294.0923,0.362138748169,0.344856262207,36.494110213477,1.818541219,0.868732404395,0.326084680701,0,0.1,80,80,0,0,252,0,0,252,0,0,-0.099998474121,0.299999237061,0.5,0.099998474121,0.20000076294,0.44302311866,0,10.599999666214,10.400000393391,0,7.7,8,7.7,
PAK,2000,-10.7973200864,0.079810387906,0.403431002015,1.8013016,0.099998474121,0.60000038147,-0.699996948242,0.001320311143,0.078553135,30.4,0.208373345942,448.9428,0.387903060023,71.6,95.4,8.73333333333,3.13333333333,0.6315967705,0.224027332,6.76666641235,0,0,9.851715274345,0,0,448.9428,-1.73486614227,1.67598724365,24.254939948114,0.024149953,0.216655999337,0.0573712369,0,0.1,80,80,-4.74166679382,0.633333325386,100,28.388294611962,6.320625190009,100,1.97500002384,2.34999990463,1.19999980927,1.19999980927,1.2999997139,8.79999923706,2.0999994278,-0.049698444215,9.2,66.799999237061,63.100002288818,8.85715141172,3,4,3,
PAN,2000,91.6272783044,-0.027328525976,5.28928134652,1.14579468,-0.5,-0.800001144409,1.29999542236,0.083119171333,-1.40054886,57.7,1.67684959263,688.9952,0.182737000794,79,97.8,1.2,-0.2,2.717931968,0.251778547,0,0,960000,4.539924764757,0,0,688.9952,-0.653205871582,-0.629219055176,0,5.655265922,2.177026119418,0.162027862169,0,0.7,80,80,2.70909083973,0.954545454545,100,9.476422383018,10.9343555838,100,-2.2,-2.82000007629,0.699998855591,2.10000038147,1.69999980927,2.5,5.29999923706,-0.163413905655,2.3,19.099999189377,36.299999237061,6.09812012838,5.7,6,5.7,
PNG,2000,68.5956526726,-0.001925094313,5.74232004727,7.13784,-0.100006103516,0.200000047684,0,0.0045596948,0.064783629,41.8,-0.560672979398,462.8847,19.027546387126,59.9,87.5,2.81818181818,0.463636363636,0.168135987,0.66371157,0,0,0,3.802711253171,0,0,462.8847,0.740570068359,0.665390014648,3.196232615998,0.024441147,51.299642884981,0.45788428416,0,0.7,80,80,2.41666666667,2.19999996821,100,12.8768881853,13.081619437595,100,0.225000003974,0.200000007947,0.200000047684,0.100000143051,0.200000047684,0.400000095367,0.39999961853,-0.016296061613,4.7,60.5,56.299999237061,0,3.5,4,3.5,
PRY,2000,-301.756155759,-0.045928827559,1.73767832077,3.89750605,1.60000038147,-1.20000076294,-0.400001525879,0.001401803,0.172051486,54.6,-4.81404634049,180.6216,2.941204411535,83,91,0.6,0.1,0.365973392,2.229893907,-7.05454531583,5166000,5619000,3.759400872377,0,0,180.6216,-0.660438537598,0.014778137207,1.67881521808,7.028839698,0.141926419981,-0.046180885688,0,0.3,80,80,2.45454545455,0.69999998266,100,8.963001745078,24.868206331804,100,-0.477777798971,0.455555544959,1.7000002861,0.5,1,3.79999923706,1.19999980927,-0.093504144684,2.5,49.900001525879,45.700001716614,0,4.1,6,4.1,
PER,2000,-12.5959476774,0.007877077275,-0.51939595699,2.86666826,0.100000023842,-0.799999237061,0.800003051758,0.003853304,0.013481907,50.8,0.779640518471,862.8955,4.376922513201,75.3,89.4,-6.4,0.7,1.123933003,0.28767837,-15.1666666667,10539000,3695000,16.107338770593,0,0,862.8955,-6.78160095215,-1.80255889893,9.568056177647,0.942951657,39.254334455248,0.044848795116,0,0.5,80,80,4.16666666667,2.64999993642,855155,28.908062790901,30.088617116279,855155,0.400000095367,-0.900000572205,-1.2000002861,-0.299999713898,-0.699999809265,1.19999980927,0.299999237061,-0.059502068427,3.2,59.400000572205,38.800000667572,3.28167187653,4,4,4,
PHL,2000,117.214670092,-0.026138581886,-0.369382343529,2.43466805,-1.29999923706,0.10000038147,1.20000076294,0.004203565667,0.137518156,42.8,4.89833380305,1030.9533,72.626862465122,72.5,92,17.05,3.1,0.550644393,-1.961923986,0,0,0,9.776211968698,0,0,1030.9533,-0.303504943848,-0.252731323242,9.917045104249,4.562833929,1.625285110342,-0.2057124229,0,0.1,80,80,3.9375,2.27500009537,171929,22.944225086859,25.787084502274,171929,2.66666666667,2.55000003179,2,1.60000038147,1.80000019073,4.39999961853,4,-0.101910706889,3.9,46.699998855591,43.199998855591,5.38599640934,4.8,6,4.8,
POL,2000,356.392702472,-0.159396745957,-12.0166961924,6.92439311,-0.5,-0.89999961853,1.29999923706,0.010439845333,2.03551566,33,0.046053647931,1773.8649,3.360540496354,94,99,0.3,-0.1,1.828984978,2.78481512,0,0,0,0.1,0,0,1773.8649,4.47081184387,3.47065353394,1.49156439364,7.2865501,5.008042934593,0.080529776956,0,0.1,65,60,2.39999993642,-2.41666666667,100,0,0,100,2.09999990463,2.29999995232,5.10000038147,3.0999994278,3.99999904633,5.49999809265,6.20000076294,-1.03770725684,1.9,22.299999713898,24.400000095367,0,7.7,8,7.7,
PRT,2000,-36.9837896775,-0.02603723481,-2.8626533624,2.17306863,-0.10000038147,0.100002288818,-0.099998474121,0.241173127,0.71385037,38.9,-1.65764917066,2520.5137,6.229094425149,98.2,98.7,-5.13333333333,1.06666666667,1.68812985,0.542835337,0,0,0,0.1,0,0,2520.5137,-1.97914123535,-0.530460357666,4.93833153995,19.15427399,1.887839653113,-0.656038633702,0,0.1,65,65,1.80000003179,1.61666663488,1066000,0,0,1066000,-1.19999980927,-0.5,-0.400000095367,-1.09999990463,-0.799999952316,0.699999809265,-2.2999997139,0.120469880955,0,21.199999332428,18.899999976158,0,8.7,10,8.7,
QAT,2000,-6756.89307376,0.00943134108,1.37941007895,0.988468,-0.100000143051,0.20000076294,-0.099998474121,0.00905128275,-0.09165532,50,1.48500542459,808.2436,0.000073610162,99.4,99.1,0,0,0.792950264,-0.53136798,0,0,0,0.1,0,0,808.2436,0.315975189209,-1.4979133606,17.2846815575,5.61151873,0.1163407099,-0.278418447862,0,0.1,80,80,2.79090916027,0.263636372306,378,0,0,378,0.006666666766,0.04000000159,3.39999997616,0.599999986589,1.09999996424,15.7000002861,4.50000008941,0.520567014975,0,0,0.5,0,7.9,8,7.9,
KOR,2000,733.563139489,-0.022431358098,-0.203460060263,1.61959775,-1,0.700000762939,0.299999237061,7.80945848,0.24430036,31.7,-2.25856455587,1,35.065909140248,100,98.1,3,0.9125,21.14780555,1.453885443,0,0,0,0.1,0,0,13668.0338,0.623664855957,0.274761199951,15.562973167703,7.07564073,1.255871852146,-0.497686658925,0,0.1,55,55,0,0,100,0,0,431341,-0.01874999702,0.024999991059,-1.5,-2.30000019073,-1.90000009537,-2.60000038147,-3.79999923706,0.121967662732,0,37.699998855591,33.600000739098,0,7.2,8,7.2,
MDA,2000,56.55827568,-0.085247760365,1.09394123736,9.56621315,2.09999847412,-0.399997711182,-1.70000076294,0.001971664667,0.89023342,36.4,5.27628350336,1,3.078004819943,86.7,96.7,-5.9,1,0.682151148,-8.02446527,0,5164000,8977000,10.736997112058,0,0,1,0.029912948608,0.350227355957,1.366078943393,2.952405696,1.457985243607,-0.114808605828,0,0.1,62,57,1.99166663488,-2.68333339691,100,22.491636405227,12.080290835965,16107,-0.599999984105,-0.541666666667,-1.80000019073,-3.39999961853,-2.60000038147,-9.9000005722,-9.79999923706,-0.044590045416,2,35.70000000298,43.600001528859,0,5.4,6,5.4,
ROU,2000,112.539690904,0.013211989001,-0.749770168774,10.02711033,1.20000076294,-1.30000114441,0.10000038147,0.008964553,0.78286904,29.3,3.30501837656,3743.0518,5.87019285287,89.8,96.6,-0.1,0,0.916137074,-0.13718709,0,4060000,7587000,5.744260016353,0,0,3743.0518,-0.552349090576,-2.03323364258,7.282676123508,5.133573763,6.916012588881,-0.0452048021,0,0.1,62.92,57.92,-4.25999984741,3.47999992371,100,20.476361406378,30.159135692367,100,1.5,0.799999952316,0.800000190735,0.599999904633,0.800000190735,0.39999961853,0.60000038147,0.024819653824,2.2,47.89999961853,42.39999961853,0,6.4,8,6.4,
RUS,2000,722.78872298,-0.083059900835,1.01473370868,5.29173508,-0.5,0.299999237061,0.20000076294,0.001889764,0.83727037,37.1,4.99006151671,1,16.066930120289,77.5,98.2,-0.1,0.1,0.958245495,-64.96544063,0,4453985000,76212000,4.687964684882,0,0,2008.4684,-0.858840942383,-1.83697128296,16.78962231079,1.292795692,9.288116113557,0.189987611699,0,0.1,60,55,1.61818174882,-0.954545454545,100,10.084907993641,18.856745490882,100,-3.02500009537,-3.04999995232,-2.5,-2.39999961853,-2.39999961853,-3.59999847412,-3,-0.10972670913,1.2,8.20000038296,7.600000098348,0,4.3,6,4.3,
RWA,2000,21.2612169709,0.491838411684,0.271830023415,1.74875814,0,0,0,0.002067489667,0.048155677,48.5,5.03286159005,106.2903,0.601955146351,60.2,85.5,20.4,2.6,-0.004345022,6.3054619,0,16218000,116000,8.590507780394,0,0,106.2903,0.224670410156,0.32600402832,0.791455392203,0.324456722,11.822706334822,0.829254105487,0,5.2,80,80,0.34375,0.23749999702,100,25.729828708158,14.781203048484,100,0.681249976158,0.725000023842,2.59999990463,1.40000009537,2.09999990463,3.19999980927,1.80000007153,-1.80357833763,8.7,96.199996948242,88.800003051758,0,3.8,4,3.8,
SAU,2000,-4913.60255893,0.456349185434,1.70701686101,-0.87249884,-0.200000286102,-1,1.19999694824,0.022337532667,0.92476592,50,-1.13589711509,1635.2479,0.389214526457,96.8,95,0,0,1.717106469,0.222894384,0,0,0,0.1,0,0,1635.2479,-0.812499523163,1.22978591919,0,2.566020723,0.147164016137,0.140821005234,0,0.1,60,55,2.59090909091,0.818181818182,6585,0,0,6585,0.309090917761,1.02727274461,0.5,0.200000047684,0.199999809265,4.5,0.299999237061,0.236199498264,0,2.999999955297,5.600000202656,0.290300546448,5.5,6,5.5,
SEN,2000,-5.4161154656,-0.072025495921,0.8052601066,0.59650266,-0.099998474121,0,0.20000076294,0.00288737775,0.363238702,41.2,-2.50666826778,567.2787,7.290164623687,61.1,90.6,11.1333333333,2.2,0.092876534,-0.095268626,5.49411773682,1149000,0,5.591924341883,0,0,567.2787,-0.365844726562,-0.800521850586,10.444601270289,1.623970982,4.752460169904,0.446162423329,0,0.7,80,80,2.51764701394,1.688235339,100,16.219534262412,0,100,0.623529434204,0.694117658279,2,1.40000009537,1.5999994278,2.20000076294,1.89999961853,0.049611475832,5,84.70000076294,73.000001907349,0,5.6,6,5.6,
SRB,2000,502.411595393,-0.296885176592,-4.16743215254,8.21162953,0.10000038147,1.69999885559,-1.79999923706,0.058178435429,4.46515788167,32,20.8767949195,927.0095,3.301111943159,97.7,99.6,6.375,-2.025,3.91666666667,28.66672333,-1.80000003179,2520466000,1147580000,7.606762624561,0,0,927.0095,-1.20710754395,-0.898880004883,11.6371961677,7.864150885,15.591610445605,-0.083362243911,0,0.1,63,58,-1.97272734209,1.96363639832,38322,27.295783228949,59.786000588718,38322,0.763636328957,0.872727307406,-1.30000019073,-1,-1.0999994278,-2.5,-2.10000038147,0.041744786821,1.3,27.60000038147,24.60000038147,0,4.4,6,4.4,
SLE,2000,72.4135146567,-0.006529533981,5.07121383614,7.651018415,-0.199996948242,0,0.200000762939,0,0.006173417,40.2,-5.22750438268,824,27.648166660412,22,75.8,6.4,1.32,0.06976359,-34.919951918,0,38391000,690000,20.545885397977,0,0,824,0.044315338135,0.063632965088,12.755221187504,0.288422726,1.358062842232,-0.401992351048,0,1,80,80,0.662500023842,0.59375,16,76.351935787089,3.94175573748,16,0.706250011921,0.71875,0,0.099999904633,0.099999904633,0,0.200000286102,0.896919171308,6.6,96.599998474121,89.60000038147,0,3.3,4,3.3,
SGP,2000,2180.61146975,-0.80052769226,0.430921195101,1.14531738,0,5.09999847412,-5.09999847412,0.976216634,0.57388242,50,0.345997032986,2680.6922,62.794945788343,99.7,100,0,0,11.84456307,1.34491409,0,0,0,0.1,0,0,2680.6922,-1.45962524414,-0.782447814941,28.680086047941,27.45734556,1.13550130112,0.714464127475,0,0.1,62,62,0.781818216497,0.472727255388,691639,0,0,691639,0.299999992053,0.333333333333,-1.49999976158,-0.899999856949,-1.10000014305,-6.09999990463,-2.40000009537,0.932893781539,0,2.900000035763,5.799999907613,7.83681172808,8.6,10,8.6,
SVK,2000,267.997699688,-0.266979693495,-1.02032158703,7.01235108,-0.299999713898,-1.20000076294,1.40000152588,0.0189451835,0.78140699,27.1,1.1638681792,1,3.6334214889,99.4,100,3.68333333333,1.45,3.989045062,1.46533103,0,0,0,0.1,0,0,5056.4429,-0.366130828857,-1.71834945679,7.73422296005,10.75468559,3.429634155273,-0.006058321915,0,0.1,62,62,3.42000007629,-3.35999984741,100,0,0,100,2.09999990463,1.2000002861,2.69999980927,3.5,3.20000076294,2.39999961853,6.79999923706,-0.237521112081,0.3,2.799999907613,7.60000000149,0,8.6,10,8.6,
SVN,2000,55.9116334175,-0.05125952284,0.346443883213,5.42016594,-1.0999994278,-0.5,1.60000228882,0.092139712,1.39208869,24.8,0.615466807887,2892.7072,4.905464308615,99.1,99.8,3.43333333333,1.63333333333,2.49932113,2.729350198,0,0,0,0.1,0,0,2892.7072,-4.21928405762,-1.46503067017,1.71404577343,29.35713973,4.205322157584,0,0,0.1,58,58,1.5,-1.41999998093,182615,0,0,182615,-1.80000007153,-0.799999952316,-0.300000190735,-0.5,-0.400000095367,-1.5,-2.5999994278,0.224483214818,0.5,11.199999809265,13.400000095367,0,8.5,10,8.5,
ZAF,2000,76.0796295099,-0.05169483446,-0.377959654412,2.83505619,-0.39999961853,-0.099998474121,0.5,0.00144464575,-1.36450265,57.8,1.89771767162,685.9114,7.000875875958,66,98.5,22.45,1.55,1.232310149,0.157462566,-3.55,0,0,3.20871415189,0,0,685.9114,-0.43323135376,-0.925891876221,5.101463883971,6.85597978,10.753834355179,0.406146279897,0,14,65,60,-2.3133333842,-1.95333328247,587382,9.868365439446,30.281121654184,587382,0.5,0.590000009537,-1.39999961853,3.40000152588,1.30000114441,-4,-0.300003051758,-0.000693448011,1.6,15.500000357628,8.700000405312,0,6.1,8,6.1,
